Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion,Year,Election_Type,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Voters_Info_PROXY_MEN,Voters_Info_PROXY_WOMEN,Voters_Info_PROXY_TOTAL,Votes_Info_VOTES NOT RETREIVED FROM EVM_VALUE,Candidates_Info_NOMINATION FILED_OTHERS,Candidates_Info_NOMINATION REJECTED_OTHERS,Candidates_Info_WITHDRAWN_OTHERS,Candidates_Info_CONTESTED_OTHERS,Candidates_Info_FORFEITED DEPOSIT_OTHERS,Electors_Info_GENERAL_OTHERS,Electors_Info_SERVICE_OTHERS,Electors_Info_TOTAL_OTHERS,Voters_Info_GENERAL_OTHERS,Voters_Info_PROXY_OTHERS,Voters_Info_POSTAL_OTHERS,Voters_Info_TOTAL_OTHERS,Votes_Info_VOTES NOT RETREIVED_VALUE
30,11-03-1972,-1,-1,False,5.0,0.0,5.0,0.0,0.0,0.0,3,0,3,2,0,2,0,0,0,20,0,0.0,IND,FORDO NARAYAN SHRINIVAS,4598.0,INC,MODASIA BALUBHAI DHARSI,3318.0,8,0,0.0,4916,6685,11601,0,0,0,4916,6685,11601,12,0,0.0,3127,5364,8491,0,0,0,3127,5364,8491,12,0,0.0,8491.0,7916.0,575.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
29,11-03-1972,-1,-1,False,12.0,0.0,12.0,0.0,0.0,0.0,7,0,7,5,0,5,3,0,3,20,0,0.0,INC,H. VALLABHABHAI TENDEL,7729.0,IND,LALLUBHAI JOGIBHAT PATEL,7350.0,8,0,0.0,8958,9546,18504,0,0,0,8958,9546,18504,12,0,0.0,7555,8340,15895,0,0,0,7555,8340,15895,12,0,0.0,15895.0,15317.0,578.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
28,11-03-1972,-1,-1,False,8.0,1.0,9.0,0.0,0.0,0.0,2,1,3,6,0,6,3,0,3,20,0,0.0,MAG,JOSHI VASSANT SUBRAYA,5292.0,UGS,A L DE GRACA ANTONIO,4252.0,8,0,0.0,17534,10428,27962,0,0,0,17534,10428,27962,12,0,0.0,8851,5403,14254,0,0,0,8851,5403,14254,12,0,0.0,14254.0,14003.0,251.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
27,11-03-1972,-1,-1,False,6.0,0.0,6.0,0.0,0.0,0.0,2,0,2,4,0,4,3,0,3,20,0,0.0,UGS,BARBOSA LUIS PALEIXO,7431.0,INC,TELO MASCARENHAS,1018.0,8,0,0.0,7444,9148,16592,0,0,0,7444,9148,16592,12,0,0.0,4531,5260,9791,0,0,0,4531,5260,9791,12,0,0.0,9791.0,9553.0,238.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
15,11-03-1972,-1,-1,False,6.0,0.0,6.0,2.0,0.0,2.0,0,0,0,4,0,4,2,0,2,20,0,0.0,MAG,BANDODKAR KRISHNA RAGHU,7020.0,NMG,KERKAR CHANDRAKANT VIJAYA,1858.0,8,0,0.0,6132,6102,12234,0,0,0,6132,6102,12234,12,0,0.0,4811,4433,9244,0,0,0,4811,4433,9244,12,0,0.0,9244.0,9095.0,149.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
24,11-03-1972,-1,-1,False,5.0,1.0,6.0,0.0,0.0,0.0,2,0,2,3,1,4,2,0,2,20,0,0.0,UGS,VEDHO LEO MAURICIO,7618.0,MAG,MIRANDA ELU JOSE,2777.0,8,0,0.0,9383,9749,19132,0,0,0,9383,9749,19132,12,0,0.0,5020,6049,11069,0,0,0,5020,6049,11069,12,0,0.0,11069.0,10919.0,150.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
23,11-03-1972,-1,-1,False,5.0,1.0,6.0,0.0,0.0,0.0,2,0,2,3,1,4,1,1,2,20,0,0.0,UGS,SARMALKAR V NARAYAN,6604.0,IND,CARDOSO FELICIO S,1796.0,8,0,0.0,6684,7564,14248,0,0,0,6684,7564,14248,12,0,0.0,3868,4876,8744,0,0,0,3868,4876,8744,12,0,0.0,8744.0,8591.0,153.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
26,11-03-1972,-1,-1,False,7.0,0.0,7.0,0.0,0.0,0.0,3,0,3,4,0,4,2,0,2,20,0,0.0,UGS,F.E.S SILVEIRA MARTINHO,7120.0,IND,CARDOZOI LUIS PIEDADE,2039.0,8,0,0.0,8070,9715,17785,0,0,0,8070,9715,17785,12,0,0.0,4817,5813,10630,0,0,0,4817,5813,10630,12,0,0.0,10630.0,10446.0,184.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
21,11-03-1972,-1,-1,False,10.0,1.0,11.0,1.0,0.0,1.0,3,0,3,6,1,7,4,0,4,20,0,0.0,MAG,PRABHU DESSAI ANIL HARI,4055.0,UGS,KARMALI B. GOPINATH,2965.0,8,0,0.0,7517,6928,14445,0,0,0,7517,6928,14445,12,0,0.0,4843,4923,9766,0,0,0,4843,4923,9766,12,0,0.0,9766.0,9560.0,206.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
20,11-03-1972,-1,-1,False,9.0,0.0,9.0,0.0,0.0,0.0,4,0,4,5,0,5,3,0,3,20,0,0.0,MAG,KUTTIKAR DHULO CHIMLO,3406.0,UGS,DESSAI MOLU GANBA,2815.0,8,0,0.0,5591,5712,11303,0,0,0,5591,5712,11303,12,0,0.0,3993,3600,7593,0,0,0,3993,3600,7593,12,0,0.0,7593.0,7378.0,215.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
19,11-03-1972,-1,-1,False,9.0,0.0,9.0,0.0,0.0,0.0,6,0,6,3,0,3,1,0,1,20,0,0.0,MAG,GANABA BHAGDU DESAI,5874.0,UGS,P.D. SHRIRANG PADMANABA,3441.0,8,0,0.0,7488,7460,14948,0,0,0,7488,7460,14948,12,0,0.0,5585,5329,10914,0,0,0,5585,5329,10914,12,0,0.0,10914.0,10609.0,305.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
18,11-03-1972,-1,-1,False,9.0,0.0,9.0,0.0,0.0,0.0,4,0,4,5,0,5,2,0,2,20,0,0.0,MAG,MORAJKER VASSUDEU DATTA,4580.0,INC,K. DEVIDAS PANDURANG,1989.0,8,0,0.0,6394,6339,12733,0,0,0,6394,6339,12733,12,0,0.0,4791,4228,9019,0,0,0,4791,4228,9019,12,0,0.0,9019.0,8854.0,165.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
17,11-03-1972,-1,-1,False,11.0,1.0,12.0,0.0,0.0,0.0,6,0,6,5,1,6,4,1,5,20,0,0.0,MAG,JAYAKRISHNA PUTU NAIK,5908.0,UGS,TENDOLKAR N NARAHARI,1425.0,8,0,0.0,7525,7422,14947,0,0,0,7525,7422,14947,12,0,0.0,5320,4653,9973,0,0,0,5320,4653,9973,12,0,0.0,9973.0,9804.0,169.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
22,11-03-1972,-1,-1,False,4.0,1.0,5.0,0.0,0.0,0.0,1,0,1,3,1,4,2,0,2,20,0,0.0,UGS,FERNANDES R SANTANO JOAO,5337.0,MAG,FERNANDES A.J. GUILMAN,3133.0,8,0,0.0,6532,7676,14208,0,0,0,6532,7676,14208,12,0,0.0,3751,5540,9291,0,0,0,3751,5540,9291,12,0,0.0,9291.0,9132.0,159.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
13,06-01-1977,17,797,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,GUNCOLIENCAR SHRIPAD LAXMAN,2817.0,MAG,PANKAR RAGHUVIR SHANU,2655.0,8,0,0.0,6724,6841,13565,0,0,0,6724,6841,13565,12,0,0.0,4376,3991,8367,0,0,0,4376,3991,8367,12,0,0.0,8367.0,8263.0,104.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
12,06-01-1977,21,802,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,GHODANKAR VINAYAK DHARMA,5145.0,JNP,DESAI SHRIKANT GOVIND,4177.0,8,0,0.0,8132,8718,16850,0,0,0,8132,8718,16850,12,0,0.0,5342,5362,10704,0,0,0,5342,5362,10704,12,0,0.0,10704.0,10578.0,126.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
11,06-01-1977,17,847,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,JNP,SEQUEIRA JACK ERASMO,4462.0,MAG,FERNANDES MANUEL FRANCISCO XAVIER DIOGO,2656.0,8,0,0.0,7362,7052,14414,0,0,0,7362,7052,14414,12,0,0.0,5115,4671,9786,0,0,0,5115,4671,9786,12,0,0.0,9786.0,9677.0,109.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
10,06-01-1977,18,870,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,JNP,BIR MADHV RAMKRISHNA,3555.0,MAG,SARDESSAI KASHINATH VENKATESH,2549.0,8,0,0.0,8198,7468,15666,0,0,0,8198,7468,15666,12,0,0.0,4986,3763,8749,0,0,0,4986,3763,8749,12,0,0.0,8749.0,8681.0,68.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
9,06-01-1977,28,535,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,RANE PRATAPSINGH RAOJI,4084.0,MAG,RANE JAYSINGRAO VENKATRAO,2973.0,8,0,0.0,7560,7438,14998,0,0,0,7560,7438,14998,12,0,0.0,5565,4548,10113,0,0,0,5565,4548,10113,12,0,0.0,10113.0,9788.0,325.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
2,06-01-1977,20,763,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,KHALAP RAMAKANT DATTARAM,5394.0,INC,PARAB GOPAL ATMARAM,3375.0,8,0,0.0,7547,7720,15267,0,0,0,7547,7720,15267,12,0,0.0,4639,5074,9713,0,0,0,4639,5074,9713,12,0,0.0,9713.0,9523.0,190.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
7,06-01-1977,20,845,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,KAKODKAR SHASHIKALA GURUDUTT,6866.0,INC,NAIK VINAYAK VASUDEV,3746.0,8,0,0.0,8599,8307,16906,0,0,0,8599,8307,16906,12,0,0.0,6635,5716,12351,0,0,0,6635,5716,12351,12,0,0.0,12351.0,12161.0,190.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
6,06-01-1977,24,739,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NARVENKAR DAYANAND GANESH,4557.0,JNP,RINBEEIO MALVINA LEONER PINTO RANGEL,4094.0,8,0,0.0,8061,9698,17759,0,0,0,8061,9698,17759,12,0,0.0,5162,5872,11034,0,0,0,5162,5872,11034,12,0,0.0,11034.0,10877.0,157.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
5,06-01-1977,22,859,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,SHIRSAT SURENDRA VASANT,5229.0,JNP,BHANDARE GANGADHAR YESHWANT,3563.0,8,0,0.0,9378,9528,18906,0,0,0,9378,9528,18906,12,0,0.0,6236,5964,12200,0,0,0,6236,5964,12200,12,0,0.0,12200.0,12087.0,113.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
4,06-01-1977,22,859,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,FERNANDES RUAL ILARIO,4621.0,JNP,FERNANDES MARK A. ANSELMO,4335.0,8,0,0.0,8590,10326,18916,0,0,0,8590,10326,18916,12,0,0.0,5682,6216,11898,0,0,0,5682,6216,11898,12,0,0.0,11898.0,11758.0,140.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
3,06-01-1977,23,778,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,CHODANKAR GHANDRAKANT UTTAM,6088.0,JNP,ACHARCKAR PUNAJI PANDURANG,3211.0,8,0,0.0,8480,9423,17903,0,0,0,8480,9423,17903,12,0,0.0,5755,5972,11727,0,0,0,5755,5972,11727,12,0,0.0,11727.0,11554.0,173.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
14,06-01-1977,19,807,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,BANDODCAR KRISHAN RAGU,6246.0,IND,PANJIKER SHASHI GOVIND,2400.0,8,0,0.0,7834,7515,15349,0,0,0,7834,7515,15349,12,0,0.0,5659,4793,10452,0,0,0,5659,4793,10452,12,0,0.0,10452.0,10286.0,166.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
8,06-01-1977,21,799,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,SHENVI SURLIKAR LAXMIKANT SANTARAM,5108.0,MAG,SINAI USGAONKER ATCHUT KASHINATH,4752.0,8,0,0.0,8695,8096,16791,0,0,0,8695,8096,16791,12,0,0.0,6344,5145,11489,0,0,0,6344,5145,11489,12,0,0.0,11489.0,11275.0,214.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
15,06-01-1977,19,770,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NAIK RHOIDAS HARISCHANDRA,4749.0,INC,AGUIAR JOILDO SOUZA,4436.0,8,0,0.0,7631,7011,14642,0,0,0,7631,7011,14642,12,0,0.0,5630,4757,10387,0,0,0,5630,4757,10387,12,0,0.0,10387.0,10271.0,116.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
23,06-01-1977,17,899,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,VELHO LEO MAURICIC,4434.0,MAG,KADAM SHANTARAM BICAJI,2425.0,8,0,0.0,7473,7817,15290,0,0,0,7473,7817,15290,12,0,0.0,4426,4638,9064,0,0,0,4426,4638,9064,12,0,0.0,9064.0,8985.0,79.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
17,06-01-1977,25,674,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,MARATHER SADASHIV VAMAN,5239.0,INC,NAIK TARI GURUDAS VASSUDEV,4391.0,8,0,0.0,9089,7761,16850,0,0,0,9089,7761,16850,12,0,0.0,5890,4793,10683,0,0,0,5890,4793,10683,12,0,0.0,10683.0,10440.0,243.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
18,06-01-1977,27,484,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,DESSAI DILKUSH FOTU,3442.0,INC,DESAI MOLU GANABA,2371.0,8,0,0.0,6814,6264,13078,0,0,0,6814,6264,13078,12,0,0.0,4857,3939,8796,0,0,0,4857,3939,8796,12,0,0.0,8796.0,8552.0,244.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
19,06-01-1977,26,608,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,GAONKAR VASU PAIK,5544.0,JNP,PRABHU GOPAL VENKATESH,3013.0,8,0,0.0,7830,8003,15833,0,0,0,7830,8003,15833,12,0,0.0,5799,5501,11300,0,0,0,5799,5501,11300,12,0,0.0,11300.0,11123.0,177.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
20,06-01-1977,22,774,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,DESSAI VAIKUNT GOVIND,4168.0,MAG,GAUNSO DESSAI SATISH NILU,3597.0,8,0,0.0,8846,8199,17045,0,0,0,8846,8199,17045,12,0,0.0,5483,4972,10455,0,0,0,5483,4972,10455,12,0,0.0,10455.0,10252.0,203.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
21,06-01-1977,21,885,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,JNP,REBELLO FERDINO ASSIZ,3321.0,INC,ROQUE SANTANA FERNANDES,3281.0,8,0,0.0,8763,9842,18605,0,0,0,8763,9842,18605,12,0,0.0,4606,5972,10578,0,0,0,4606,5972,10578,12,0,0.0,10578.0,10441.0,137.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
22,06-01-1977,19,929,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,COTA LOURENCE PEDRO SANTANO,4196.0,JNP,BARRETO JACO JESMINA,3117.0,8,0,0.0,8355,9314,17669,0,0,0,8355,9314,17669,12,0,0.0,4497,5382,9879,0,0,0,4497,5382,9879,12,0,0.0,9879.0,9779.0,100.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
24,06-01-1977,15,982,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,NAIK ANANTA NARCINAVA,4551.0,MAG,VAIDYA GOPAL PANDURANG,2764.0,8,0,0.0,7656,7081,14737,0,0,0,7656,7081,14737,12,0,0.0,5124,4208,9332,0,0,0,5124,4208,9332,12,0,0.0,9332.0,9256.0,76.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
25,06-01-1977,23,756,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,SARDINHA FERNCISCO CETANA,3945.0,JNP,AGUIAR MANUEL SEBASTIAO,2817.0,8,0,0.0,8299,9102,17401,0,0,0,8299,9102,17401,12,0,0.0,4360,5098,9458,0,0,0,4360,5098,9458,12,0,0.0,9458.0,9326.0,132.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
26,06-01-1977,18,831,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,FROILANO MACHADO,4654.0,MAG,COLACO PEDRO ANASTACIO,2431.0,8,0,0.0,6779,8187,14966,0,0,0,6779,8187,14966,12,0,0.0,4418,4861,9279,0,0,0,4418,4861,9279,12,0,0.0,9279.0,9133.0,146.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
27,06-01-1977,18,786,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,LAAD SHANKAR VISHVESWAR,3057.0,INC,DOURADO HARCULANE T.,2445.0,8,0,0.0,7935,6214,14149,0,0,0,7935,6214,14149,12,0,0.0,4383,3556,7939,0,0,0,4383,3556,7939,12,0,0.0,7939.0,7837.0,102.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
28,06-01-1977,20,818,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,SHAIKH HASSAN HAROON,3256.0,MAG,JOSHI VASANT SUBRAY,2615.0,8,0,0.0,9961,6414,16375,0,0,0,9961,6414,16375,12,0,0.0,5363,3155,8518,0,0,0,5363,3155,8518,12,0,0.0,8518.0,8431.0,87.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
29,06-01-1977,24,860,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,BHATHELA MAKANBHAI MORARJI,6423.0,JNP,BHATHELA DAJIBHAI KANJIBHAI,6401.0,8,0,0.0,9871,10769,20640,0,0,0,9871,10769,20640,12,0,0.0,6634,7777,14411,0,0,0,6634,7777,14411,12,0,0.0,14411.0,14033.0,378.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
30,06-01-1977,16,864,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,FUGRO NARAYAN SHRINIVAS,5522.0,MAG,MODASIA BALUBHAI DHARSI,3565.0,8,0,0.0,6084,7750,13834,0,0,0,6084,7750,13834,12,0,0.0,4087,5983,10070,0,0,0,4087,5983,10070,12,0,0.0,10070.0,9789.0,281.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
16,06-01-1977,19,847,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NAIK JAYAKRISHNA PUTU,5964.0,INC,SHIRODHAR VASSANTA SHANKAR,2988.0,8,0,0.0,8179,7925,16104,0,0,0,8179,7925,16104,12,0,0.0,5540,4785,10325,0,0,0,5540,4785,10325,12,0,0.0,10325.0,10173.0,152.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
1,06-01-1977,26,588,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,MANDREKAR DEU GUNAJI,3978.0,INC,MORAJKAR RAMDAS SHANKAR,1990.0,8,0,0.0,7454,7849,15303,0,0,0,7454,7849,15303,12,0,0.0,4075,3987,8062,0,0,0,4075,3987,8062,12,0,0.0,8062.0,7908.0,154.0,0.0,0.0,10,0,0.0,1977,AE,,,,,,,,,,,,,,,,,,,
1,01-03-1980,28,550,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,MANDREKAR DEU GUNAJI,4701.0,INC(I),MORAJKAR RAMDAS SHANKAR,2290.0,8,0,0.0,7459,7968,15427,0,0,0,7459,7968,15427,12,0,0.0,4764,4640,9404,0,0,0,4764,4640,9404,12,0,0.0,9404.0,9049.0,355.0,0.0,0.0,10,0,0.0,1980,AE,,,,,,,,,,,,,,,,,,,
7,01-03-1980,26,685,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,PRABHU ZANTYE HARISH NARAYAN,8354.0,MAG,KAKODKAR SHASHIKALA GURUDUTTA,5981.0,8,0,0.0,9097,8716,17813,0,0,0,9097,8716,17813,12,0,0.0,7772,6978,14750,0,0,0,7772,6978,14750,12,0,0.0,14750.0,14335.0,415.0,0.0,0.0,10,0,0.0,1980,AE,,,,,,,,,,,,,,,,,,,
4,01-03-1980,27,743,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),DE SOUZA WILFRED TITO FERMINO,6920.0,MAG,D' SOUZA FRANCISCO AGUSTA,5506.0,8,0,0.0,9260,10823,20083,0,0,0,9260,10823,20083,12,0,0.0,6576,7614,14190,0,0,0,6576,7614,14190,12,0,0.0,14190.0,13566.0,624.0,0.0,0.0,10,0,0.0,1980,AE,,,,,,,,,,,,,,,,,,,
5,01-03-1980,27,711,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),NEVAGI SHAMSUNDER JAIRAM,6640.0,MAG,SIRSAT SURENDRA VASANT,5559.0,8,0,0.0,9447,9763,19210,0,0,0,9447,9763,19210,12,0,0.0,6960,7096,14056,0,0,0,6960,7096,14056,12,0,0.0,14056.0,13495.0,561.0,0.0,0.0,10,0,0.0,1980,AE,,,,,,,,,,,,,,,,,,,
6,01-03-1980,26,761,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC(U),NARVEKAR DAYANAND GANESH,8219.0,MAG,CHODANKAR MADAN VARNAN,4414.0,8,0,0.0,9141,10647,19788,0,0,0,9141,10647,19788,12,0,0.0,6664,7288,13952,0,0,0,6664,7288,13952,12,0,0.0,13952.0,13380.0,572.0,0.0,0.0,10,0,0.0,1980,AE,,,,,,,,,,,,,,,,,,,
8,01-03-1980,28,641,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,NAIK VISHNU RAMA,5827.0,INC(U),SURYARAO SARDESSAI RAMESH NARAYAN,4932.0,8,0,0.0,9383,8584,17967,0,0,0,9383,8584,17967,12,0,0.0,7539,6473,14012,0,0,0,7539,6473,14012,12,0,0.0,14012.0,13530.0,482.0,0.0,0.0,10,0,0.0,1980,AE,,,,,,,,,,,,,,,,,,,
